namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f1551303-a49a-474e-9542-d9c8395360b2,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,fa833009-e51e-4b12-bc6c-8129f1b965d6,T1.Q1.A1,Metaphorical Language,T1.Q2,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f1551303-a49a-474e-9542-d9c8395360b2,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,9b3dddb9-d3cb-40c6-8bb4-c2c5c9554450,T1.Q1.A2,Exaggeration,T1.Q3,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f1551303-a49a-474e-9542-d9c8395360b2,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,90929fbb-7fca-40c5-b7cf-d5ea5d29694e,T1.Q1.A3,Scandal,T1.Q4,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f1551303-a49a-474e-9542-d9c8395360b2,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,6f52df5f-9bbe-4db1-9167-c397208dcc1c,T1.Q1.A4,Emotional tone (including expletives),"T1.Q5, T1.Q6",1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f1551303-a49a-474e-9542-d9c8395360b2,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,c9486440-cfec-4121-af79-143064b945f3,T1.Q1.A5,Shock or surprise,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f1551303-a49a-474e-9542-d9c8395360b2,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,31cc270c-ae0e-46bd-965d-574ed4b0b964,T1.Q1.A6,Slang,"T1.Q9, T1.Q10",1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f1551303-a49a-474e-9542-d9c8395360b2,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,1d113f3d-1a0e-4158-80ca-2565e97155c4,T1.Q1.A7,Typos,T1.Q11,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f1551303-a49a-474e-9542-d9c8395360b2,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,18b6fcf3-397c-4495-80a0-4d411b3f6b47,T1.Q1.A8,Bad grammar,T1.Q11,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f1551303-a49a-474e-9542-d9c8395360b2,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,0696f27f-c273-4482-8aee-c35cdbfc02b8,T1.Q1.A9,Misleading or confusing sentence structure,T1.Q11,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f1551303-a49a-474e-9542-d9c8395360b2,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,03fe2007-6ff2-4a13-a280-6c57b59796cb,T1.Q1.A10,Other unnecessary or misleading coloring of language,T1.Q13,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
